protein_id	fasta_headers	gene_symbols_or_id	MS1-L	MS2-L	MW1-L	MW2-L
Q8K4R9	>sp|Q8K4R9|DLGP5_MOUSE Disks large-associated protein 5 OS=Mus musculus OX=10090 GN=Dlgap5 PE=1 SV=2	DLGAP5	18.175033534174	18.4880772587303	18.2876685366488	18.4364158893584
Q9D2G2	>sp|Q9D2G2|ODO2_MOUSE Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dlst PE=1 SV=1	DLST	20.9657899968468	21.0864986106446	20.8690466695291	21.1168075229456
Q9D7K5	>sp|Q9D7K5|DMAC2_MOUSE Distal membrane-arm assembly complex protein 2 OS=Mus musculus OX=10090 GN=Dmac2 PE=1 SV=1	DMAC2	18.8436642788255	18.1367940618796	18.2017196945379	
Q9JI44	>sp|Q9JI44|DMAP1_MOUSE DNA methyltransferase 1-associated protein 1 OS=Mus musculus OX=10090 GN=Dmap1 PE=1 SV=1	DMAP1		16.2434237257125	17.4936110969848	16.9911683824837
Q8BGF3	>sp|Q8BGF3|DAA10_MOUSE Dynein axonemal assembly factor 10 OS=Mus musculus OX=10090 GN=Dnaaf10 PE=1 SV=1	DNAAF10	19.3171926536032		19.0293080550759	
Q8R368	>sp|Q8R368|DAAF4_MOUSE Dynein axonemal assembly factor 4 OS=Mus musculus OX=10090 GN=Dnaaf4 PE=1 SV=2	DNAAF4		15.6748519701366	14.9432070333778	15.1980824247561
B9EJR8	>sp|B9EJR8|DAAF5_MOUSE Dynein axonemal assembly factor 5 OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1	DNAAF5	18.5610776954385	18.5482754767232	18.7500750816014	18.6632259003794
P0C6F1	>sp|P0C6F1|DYH2_MOUSE Dynein axonemal heavy chain 2 OS=Mus musculus OX=10090 GN=Dnah2 PE=1 SV=1	DNAH2	16.801251691355	17.4070937798111		16.4975598033898
Q8BW94	>sp|Q8BW94|DYH3_MOUSE Dynein axonemal heavy chain 3 OS=Mus musculus OX=10090 GN=Dnah3 PE=1 SV=2	DNAH3	21.755596793498		21.1705510571379	
B1AR51	>tr|B1AR51|B1AR51_MOUSE Dynein, axonemal, heavy chain 9 OS=Mus musculus OX=10090 GN=Dnah9 PE=1 SV=1	DNAH9	20.1171845544087	20.2187154104987	20.203416001058	20.1763715260837
P63037	>sp|P63037|DNJA1_MOUSE DnaJ homolog subfamily A member 1 OS=Mus musculus OX=10090 GN=Dnaja1 PE=1 SV=1	DNAJA1	18.5211323076113	18.7505752698292	18.5579460731459	18.6380171702544
Q9QYJ0	>sp|Q9QYJ0|DNJA2_MOUSE DnaJ homolog subfamily A member 2 OS=Mus musculus OX=10090 GN=Dnaja2 PE=1 SV=1	DNAJA2	19.0074526101023	19.2587448192063	19.2039301294888	19.4185827843531
Q99M87	>sp|Q99M87|DNJA3_MOUSE DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus OX=10090 GN=Dnaja3 PE=1 SV=1	DNAJA3	19.8189706904895	20.0438139187069	19.3717438830624	19.8274526402911
Q9QYJ3	>sp|Q9QYJ3|DNJB1_MOUSE DnaJ homolog subfamily B member 1 OS=Mus musculus OX=10090 GN=Dnajb1 PE=1 SV=3	DNAJB1	19.8096571210474	20.0618499812338	19.9375172157996	20.1294850196344
Q99KV1	>sp|Q99KV1|DJB11_MOUSE DnaJ homolog subfamily B member 11 OS=Mus musculus OX=10090 GN=Dnajb11 PE=1 SV=1	DNAJB11	19.4114313107263	19.4948082330446	19.4202622737101	19.4521560225041
Q9QYI4	>sp|Q9QYI4|DJB12_MOUSE DnaJ homolog subfamily B member 12 OS=Mus musculus OX=10090 GN=Dnajb12 PE=1 SV=2	DNAJB12	17.6566389486262	17.6816526540961	17.7978193702643	18.0580618565954
Q9QYI5	>sp|Q9QYI5|DNJB2_MOUSE DnaJ homolog subfamily B member 2 OS=Mus musculus OX=10090 GN=Dnajb2 PE=1 SV=3	DNAJB2	18.8451494445491	19.0684296259138	19.4583473154625	19.5072200612698
Q9D832	>sp|Q9D832|DNJB4_MOUSE DnaJ homolog subfamily B member 4 OS=Mus musculus OX=10090 GN=Dnajb4 PE=1 SV=1	DNAJB4	19.0714144456027	19.3021539844506	19.3326688803708	19.3645989915497
O54946	>sp|O54946|DNJB6_MOUSE DnaJ homolog subfamily B member 6 OS=Mus musculus OX=10090 GN=Dnajb6 PE=1 SV=4	DNAJB6	18.6425827995646	18.7511006787171	19.2532563962749	19.1331613029302
Q61712	>sp|Q61712|DNJC1_MOUSE DnaJ homolog subfamily C member 1 OS=Mus musculus OX=10090 GN=Dnajc1 PE=1 SV=1	DNAJC1	19.6933539004838	19.7877579137528	19.8288634380203	19.7973577509723
Q9DC23	>sp|Q9DC23|DJC10_MOUSE DnaJ homolog subfamily C member 10 OS=Mus musculus OX=10090 GN=Dnajc10 PE=1 SV=2	DNAJC10	19.3857673577056	19.1756286119963	19.1618980799248	19.0054985122975
Q5U458	>sp|Q5U458|DJC11_MOUSE DnaJ homolog subfamily C member 11 OS=Mus musculus OX=10090 GN=Dnajc11 PE=1 SV=2	DNAJC11	18.0034438165783	17.880452193209	17.897487129779	18.0886765461282
D4AFX7;G3X922	>tr|D4AFX7|D4AFX7_MOUSE DnaJ heat shock protein family (Hsp40) member C13 OS=Mus musculus OX=10090 GN=Dnajc13 PE=1 SV=1;>tr|G3X922|G3X922_MOUSE Isoform of D4AFX7, DnaJ heat shock protein family (Hsp40) member C13 OS=Mus musculus OX=10090 GN=Dnajc13 PE=1 SV=1	DNAJC13	18.7079419038145	18.257654611224	18.4376087094361	18.3226146504274
Q9CQV7	>sp|Q9CQV7|TIM14_MOUSE Mitochondrial import inner membrane translocase subunit TIM14 OS=Mus musculus OX=10090 GN=Dnajc19 PE=1 SV=3	DNAJC19	20.1933172165024	19.8446872399178	20.0373262037509	20.1193588055463
P54103	>sp|P54103|DNJC2_MOUSE DnaJ homolog subfamily C member 2 OS=Mus musculus OX=10090 GN=Dnajc2 PE=1 SV=2	DNAJC2	19.0569399130504	19.0944415170258	19.2190517872	18.9147081480007
E9Q8D0	>sp|E9Q8D0|DJC21_MOUSE DnaJ homolog subfamily C member 21 OS=Mus musculus OX=10090 GN=Dnajc21 PE=1 SV=1	DNAJC21	18.9795969708149	18.8368407000539	19.0765892031196	19.1852095145325
A2ALW5	>sp|A2ALW5|DJC25_MOUSE DnaJ homolog subfamily C member 25 OS=Mus musculus OX=10090 GN=Dnajc25 PE=1 SV=1	DNAJC25	19.6813769315642	19.6494408353619	19.5549269033043	19.7269498923029
Q91YW3	>sp|Q91YW3|DNJC3_MOUSE DnaJ homolog subfamily C member 3 OS=Mus musculus OX=10090 GN=Dnajc3 PE=1 SV=1	DNAJC3	18.4509605999838	18.5515665323166	18.425538729161	18.4404747313597
Q9QYI3	>sp|Q9QYI3|DNJC7_MOUSE DnaJ homolog subfamily C member 7 OS=Mus musculus OX=10090 GN=Dnajc7 PE=1 SV=2	DNAJC7	19.1663182605584	19.2275993750245	19.3088180093997	19.320640017366
Q6NZB0	>sp|Q6NZB0|DNJC8_MOUSE DnaJ homolog subfamily C member 8 OS=Mus musculus OX=10090 GN=Dnajc8 PE=1 SV=2	DNAJC8	19.053212574502	18.9348034195132	18.9158783701548	18.9540060623565
Q91WN1	>sp|Q91WN1|DNJC9_MOUSE DnaJ homolog subfamily C member 9 OS=Mus musculus OX=10090 GN=Dnajc9 PE=1 SV=2	DNAJC9	19.1765778195883	19.0118013852124	19.4819948721265	19.4140560061011
A0A0J9YUN4	>tr|A0A0J9YUN4|A0A0J9YUN4_MOUSE Isoform of P39053, dynamin GTPase OS=Mus musculus OX=10090 GN=Dnm1 PE=1 SV=1	DNM1	19.7570736497471	19.5325866298184	19.3987722032751	19.2959909660916
Q8K1M6	>sp|Q8K1M6|DNM1L_MOUSE Dynamin-1-like protein OS=Mus musculus OX=10090 GN=Dnm1l PE=1 SV=3	DNM1L	19.0132221022638	18.9426886619934	18.6214175000982	18.7751437755199
P39054	>sp|P39054|DYN2_MOUSE Dynamin-2 OS=Mus musculus OX=10090 GN=Dnm2 PE=1 SV=2	DNM2	20.2453264726013	20.2797327302491	20.1835432746754	20.2739788037772
Q8BZ98	>sp|Q8BZ98|DYN3_MOUSE Dynamin-3 OS=Mus musculus OX=10090 GN=Dnm3 PE=1 SV=1	DNM3	20.9725488422691	19.8967742734944		19.9801094729171
P13864	>sp|P13864|DNMT1_MOUSE DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus OX=10090 GN=Dnmt1 PE=1 SV=5	DNMT1	19.3879507032866	18.6950490163923	18.6713746771411	18.046352960713
O88508	>sp|O88508|DNM3A_MOUSE DNA (cytosine-5)-methyltransferase 3A OS=Mus musculus OX=10090 GN=Dnmt3a PE=1 SV=2	DNMT3A	19.4290742182906	19.3135713929687	19.0267503808142	19.6182405682679
Q9Z2W0	>sp|Q9Z2W0|DNPEP_MOUSE Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2	DNPEP	19.9358510952648	20.1301996025512	19.7725041117325	19.8192620794055
Q80VJ3	>sp|Q80VJ3|DNPH1_MOUSE 5-hydroxymethyl-dUMP N-hydrolase OS=Mus musculus OX=10090 GN=Dnph1 PE=1 SV=2	DNPH1	18.5702011318255	18.2882002055492	18.8297773299971	19.2186386488807
Q99LB0	>sp|Q99LB0|TDIF1_MOUSE Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Mus musculus OX=10090 GN=Dnttip1 PE=1 SV=1	DNTTIP1	19.1706861838525	19.3350473985806	19.3335515465217	19.4025075201829
Q8R2M2	>sp|Q8R2M2|TDIF2_MOUSE Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Mus musculus OX=10090 GN=Dnttip2 PE=1 SV=1	DNTTIP2	19.8969200267322	19.857092967451	20.0272289423579	19.7232127827531
Q8BUR4	>sp|Q8BUR4|DOCK1_MOUSE Dedicator of cytokinesis protein 1 OS=Mus musculus OX=10090 GN=Dock1 PE=1 SV=3	DOCK1	18.8833423169853	18.572892043584	18.7769407689544	18.8664300139441
Q8BZN6	>sp|Q8BZN6|DOC10_MOUSE Dedicator of cytokinesis protein 10 OS=Mus musculus OX=10090 GN=Dock10 PE=1 SV=4	DOCK10	16.2971052489825	15.035485471375	15.7074002007176	
A2AF47	>sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1	DOCK11	18.4610558060957	18.5851898566073	18.6629809387323	18.633585767263
B2RY04	>sp|B2RY04|DOCK5_MOUSE Dedicator of cytokinesis protein 5 OS=Mus musculus OX=10090 GN=Dock5 PE=1 SV=2	DOCK5	17.5408618686459	17.684449498178	17.7161743206058	17.6366117384227
Q8R1A4	>sp|Q8R1A4|DOCK7_MOUSE Dedicator of cytokinesis protein 7 OS=Mus musculus OX=10090 GN=Dock7 PE=1 SV=3	DOCK7	18.6554536654111	18.5646750177646	18.7209901349895	18.7686721935134
Q99LN9	>sp|Q99LN9|DOHH_MOUSE Deoxyhypusine hydroxylase OS=Mus musculus OX=10090 GN=Dohh PE=1 SV=2	DOHH	20.5936726878297	20.4850536820405	20.5035658211503	20.6854417140087
P97465	>sp|P97465|DOK1_MOUSE Docking protein 1 OS=Mus musculus OX=10090 GN=Dok1 PE=1 SV=2	DOK1	19.8515028159964	20.4763082745464	20.3392570986912	20.4679518828229
Q8BPA8	>sp|Q8BPA8|DPCD_MOUSE Protein DPCD OS=Mus musculus OX=10090 GN=Dpcd PE=1 SV=1	DPCD	21.6186919306116	19.9387631595331	19.4981007661296	19.6161170706046
P31428	>sp|P31428|DPEP1_MOUSE Dipeptidase 1 OS=Mus musculus OX=10090 GN=Dpep1 PE=1 SV=2	DPEP1	18.4922250502013	17.8728886943137	17.6793903391362	17.3602886704204
Q61103	>sp|Q61103|REQU_MOUSE Zinc finger protein ubi-d4 OS=Mus musculus OX=10090 GN=Dpf2 PE=1 SV=1	DPF2	18.6531853625411	18.9315512481737	18.9943188654294	19.0620937085938
Q9CR25	>sp|Q9CR25|DPH2_MOUSE 2-(3-amino-3-carboxypropyl)histidine synthase subunit 2 OS=Mus musculus OX=10090 GN=Dph2 PE=1 SV=1	DPH2	19.8078587736088	20.0544698996211	19.0670698018103	19.703507606298
Q9CYU6	>sp|Q9CYU6|DPH7_MOUSE Diphthine methyltransferase OS=Mus musculus OX=10090 GN=Dph7 PE=2 SV=1	DPH7	15.6618585805149	16.4549310632463	16.16920881771	
Q9D1Q4	>sp|Q9D1Q4|DPM3_MOUSE Dolichol-phosphate mannosyltransferase subunit 3 OS=Mus musculus OX=10090 GN=Dpm3 PE=1 SV=1	DPM3	18.5862866623579	18.8587672575922	18.0499545632586	18.4688792092626
Q99KK7	>sp|Q99KK7|DPP3_MOUSE Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2	DPP3	18.6340683782511	18.295248244138	18.310688952106	18.2018000189175
Q9ET22	>sp|Q9ET22|DPP2_MOUSE Dipeptidyl peptidase 2 OS=Mus musculus OX=10090 GN=Dpp7 PE=1 SV=2	DPP7	19.2306575513559	18.9681661969291	18.6159597384181	19.0718431817276
Q8BVG4	>sp|Q8BVG4|DPP9_MOUSE Dipeptidyl peptidase 9 OS=Mus musculus OX=10090 GN=Dpp9 PE=1 SV=2	DPP9	19.5513677019289	19.5288139289655	19.1351717970439	19.3841737846335
A6X919	>sp|A6X919|D19L1_MOUSE Protein C-mannosyl-transferase DPY19L1 OS=Mus musculus OX=10090 GN=Dpy19l1 PE=1 SV=1	DPY19L1	16.8236258854983	16.251699937574	17.4090991504524	
Q71B07	>sp|Q71B07|D19L3_MOUSE Protein C-mannosyl-transferase DPY19L3 OS=Mus musculus OX=10090 GN=Dpy19l3 PE=1 SV=2	DPY19L3	17.4406006820453	17.5388775157357	17.3005142910272	17.3937357582027
Q99LT0	>sp|Q99LT0|DPY30_MOUSE Protein dpy-30 homolog OS=Mus musculus OX=10090 GN=Dpy30 PE=1 SV=1	DPY30	18.5200529177058	18.6932168952453	18.39432373804	18.5419333465185
O08553	>sp|O08553|DPYL2_MOUSE Dihydropyrimidinase-related protein 2 OS=Mus musculus OX=10090 GN=Dpysl2 PE=1 SV=2	DPYSL2	21.1359963158827	21.2750899699198	21.2195374921117	21.1315435266439
E9PWE8	>tr|E9PWE8|E9PWE8_MOUSE Isoform of Q62188, Dihydropyrimidinase-like 3 OS=Mus musculus OX=10090 GN=Dpysl3 PE=1 SV=1	DPYSL3	20.9659208277383	21.2277511333814	21.152189367695	20.9099541638894
Q9EQF6	>sp|Q9EQF6|DPYL5_MOUSE Dihydropyrimidinase-related protein 5 OS=Mus musculus OX=10090 GN=Dpysl5 PE=1 SV=1	DPYSL5	17.5821631971487		17.6437475654217	18.4885614692196
Q91WV0	>sp|Q91WV0|NC2B_MOUSE Protein Dr1 OS=Mus musculus OX=10090 GN=Dr1 PE=1 SV=1	DR1	19.1566556307451	19.2682464225318	19.0507994233627	19.2514460883855
Q9D6N5	>sp|Q9D6N5|NC2A_MOUSE Dr1-associated corepressor OS=Mus musculus OX=10090 GN=Drap1 PE=1 SV=3	DRAP1	18.34378380321	18.7488598189992	18.4357899790451	18.3939461562107
P32233	>sp|P32233|DRG1_MOUSE Developmentally-regulated GTP-binding protein 1 OS=Mus musculus OX=10090 GN=Drg1 PE=1 SV=1	DRG1	19.1552784032421	19.1678668866432	19.064803094352	19.2908910399885
Q9QXB9	>sp|Q9QXB9|DRG2_MOUSE Developmentally-regulated GTP-binding protein 2 OS=Mus musculus OX=10090 GN=Drg2 PE=1 SV=1	DRG2	21.0859521375847	20.554759344103	20.5313280417537	20.6730211622704
S4R1P5	>tr|S4R1P5|S4R1P5_MOUSE Isoform of Q91ZU6, Dystonin OS=Mus musculus OX=10090 GN=Dst PE=1 SV=1	DST	18.8071865258002	18.6243125618715	19.0137765941558	19.0482422158878
Q9R0P5	>sp|Q9R0P5|DEST_MOUSE Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3	DSTN	22.6413607873748	22.8832736725788	22.7334654213917	22.6687650839655
Q9DD18	>sp|Q9DD18|DTD1_MOUSE D-aminoacyl-tRNA deacylase 1 OS=Mus musculus OX=10090 GN=Dtd1 PE=1 SV=2	DTD1	15.8952068912888	16.5328462995177	16.752901989651	16.4649320987021
Q91WZ8	>sp|Q91WZ8|DTBP1_MOUSE Dysbindin OS=Mus musculus OX=10090 GN=Dtnbp1 PE=1 SV=1	DTNBP1	20.2040603018559	20.3093770764071	20.2357437965684	20.3202859930538
P97930	>sp|P97930|KTHY_MOUSE Thymidylate kinase OS=Mus musculus OX=10090 GN=Dtymk PE=1 SV=2	DTYMK	20.0672299128658	20.0744130043299	20.228711356309	20.3544507270448
Q9D7B1	>sp|Q9D7B1|DUS2_MOUSE tRNA-dihydrouridine(20) synthase [NAD(P)+]-like OS=Mus musculus OX=10090 GN=Dus2 PE=1 SV=1	DUS2	16.5335310386225	16.5769010308925	16.6458811779203	16.3390077242925
Q91XI1	>sp|Q91XI1|DUS3L_MOUSE tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like OS=Mus musculus OX=10090 GN=Dus3l PE=1 SV=1	DUS3L	19.5213963035806	19.5768045183167	19.7688196428037	19.7330002795507
Q6NT99	>sp|Q6NT99|DUS23_MOUSE Dual specificity protein phosphatase 23 OS=Mus musculus OX=10090 GN=Dusp23 PE=1 SV=1	DUSP23	19.9403159640099	19.7812236072845	19.8744984628045	19.9878441792109
Q8BTR5	>sp|Q8BTR5|DUS28_MOUSE Dual specificity phosphatase 28 OS=Mus musculus OX=10090 GN=Dusp28 PE=1 SV=1	DUSP28	17.9228762267956	17.9155038026655	18.3067049551438	18.8826636355735
Q9D7X3	>sp|Q9D7X3|DUS3_MOUSE Dual specificity protein phosphatase 3 OS=Mus musculus OX=10090 GN=Dusp3 PE=1 SV=1	DUSP3	19.5799786211147	19.7665001857376	19.7537958344998	20.0829031546643
Q9CQ43	>sp|Q9CQ43|DUT_MOUSE Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Mus musculus OX=10090 GN=Dut PE=1 SV=1	DUT	20.4374919115937	20.5979962397815	20.6383953177198	20.6571397785163
P51141	>sp|P51141|DVL1_MOUSE Segment polarity protein dishevelled homolog DVL-1 OS=Mus musculus OX=10090 GN=Dvl1 PE=1 SV=2	DVL1	18.4644885634058	18.5495020097638	18.730082681624	18.8475868795964
Q60838	>sp|Q60838|DVL2_MOUSE Segment polarity protein dishevelled homolog DVL-2 OS=Mus musculus OX=10090 GN=Dvl2 PE=1 SV=2	DVL2	17.7676196196658	17.985045106509	17.7865123867148	17.8574285097795
Q61062	>sp|Q61062|DVL3_MOUSE Segment polarity protein dishevelled homolog DVL-3 OS=Mus musculus OX=10090 GN=Dvl3 PE=1 SV=2	DVL3	20.4940243525643	20.9353951573909		20.9800866240619
Q9JHU4	>sp|Q9JHU4|DYHC1_MOUSE Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2	DYNC1H1	20.0418881705054	19.2751734407359	19.6492098253349	19.0873932102927
O88487	>sp|O88487|DC1I2_MOUSE Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1	DYNC1I2	18.7085175144496	18.7533016555759	18.9512830731573	18.5567883063651
Q8R1Q8	>sp|Q8R1Q8|DC1L1_MOUSE Cytoplasmic dynein 1 light intermediate chain 1 OS=Mus musculus OX=10090 GN=Dync1li1 PE=1 SV=1	DYNC1LI1	18.2192923536476	18.1410244541293	18.19779955806	17.9318823918912
Q6PDL0	>sp|Q6PDL0|DC1L2_MOUSE Cytoplasmic dynein 1 light intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1li2 PE=1 SV=2	DYNC1LI2	19.8627417865668	19.9339977372381	19.9260077344486	19.9687563539524
Q5U4F6	>sp|Q5U4F6|DC2I2_MOUSE Cytoplasmic dynein 2 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync2i2 PE=1 SV=3	DYNC2I2	20.0166000360117	19.6825023448984	20.349892037036	20.0667907678433
Q8K0T2	>sp|Q8K0T2|DC2L1_MOUSE Cytoplasmic dynein 2 light intermediate chain 1 OS=Mus musculus OX=10090 GN=Dync2li1 PE=1 SV=1	DYNC2LI1	17.8727161564983	17.81727628893	18.1942104945332	17.8017898691961
P63168	>sp|P63168|DYL1_MOUSE Dynein light chain 1, cytoplasmic OS=Mus musculus OX=10090 GN=Dynll1 PE=1 SV=1	DYNLL1	17.6179178955375	18.3091663760512	17.74444410211	17.920920555032
P62627	>sp|P62627|DLRB1_MOUSE Dynein light chain roadblock-type 1 OS=Mus musculus OX=10090 GN=Dynlrb1 PE=1 SV=3	DYNLRB1	23.9756639760102	23.9547692939927	24.1205571064797	24.0315972596084
Q61214	>sp|Q61214|DYR1A_MOUSE Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Mus musculus OX=10090 GN=Dyrk1a PE=1 SV=1	DYRK1A	17.9913253780491	18.5082888960696	18.5056317716936	
Q9Z188	>sp|Q9Z188|DYR1B_MOUSE Dual specificity tyrosine-phosphorylation-regulated kinase 1B OS=Mus musculus OX=10090 GN=Dyrk1b PE=1 SV=3	DYRK1B	18.842453241364	18.3029088277105	18.7897767031165	
A0A0N4SUJ2;A0A0N4SUN3;A0A0N4SVX9;E9PXU9	>tr|A0A0N4SUJ2|A0A0N4SUJ2_MOUSE Isoform of Q9ESD7, Dysferlin OS=Mus musculus OX=10090 GN=Dysf PE=1 SV=1;>tr|A0A0N4SUN3|A0A0N4SUN3_MOUSE Isoform of Q9ESD7, Dysferlin OS=Mus musculus OX=10090 GN=Dysf PE=1 SV=1;>tr|A0A0N4SVX9|A0A0N4SVX9_MOUSE Isoform of Q9ESD7, Dysferlin OS=Mus musculus OX=10090 GN=Dysf PE=1 SV=1;>tr|E9PXU9|E9PXU9_MOUSE Isoform of Q9ESD7, Dysferlin OS=Mus musculus OX=10090 GN=Dysf PE=1 SV=1	DYSF	19.5765434135586	18.7997164889971	19.1712879421239	19.4463962142742
Q5BU09	>sp|Q5BU09|EAPP_MOUSE E2F-associated phosphoprotein OS=Mus musculus OX=10090 GN=Eapp PE=1 SV=2	EAPP	17.5323684525501	17.5800623027238	17.8351509881015	17.5639016476364
Q9CXJ1	>sp|Q9CXJ1|SYEM_MOUSE Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial OS=Mus musculus OX=10090 GN=Ears2 PE=1 SV=1	EARS2	19.4901487427309	19.0096446098984	19.6836305664688	18.9345991590655
Q9D0V7	>sp|Q9D0V7|RCAS1_MOUSE Receptor-binding cancer antigen expressed on SiSo cells OS=Mus musculus OX=10090 GN=Ebag9 PE=1 SV=2	EBAG9		17.1732723284409	17.5283414091066	17.0399630958359
Q07802;O08791	>sp|Q07802|COE1_MOUSE Transcription factor COE1 OS=Mus musculus OX=10090 GN=Ebf1 PE=1 SV=1;>sp|O08791|COE3_MOUSE Transcription factor COE3 OS=Mus musculus OX=10090 GN=Ebf3 PE=1 SV=1	EBF1;EBF3	19.2781940942048	19.0657530743402	19.0504223233891	18.8108216549139
O08792	>sp|O08792|COE2_MOUSE Transcription factor COE2 OS=Mus musculus OX=10090 GN=Ebf2 PE=1 SV=4	EBF2	18.7278780279541	18.7281485452408	18.7656932519003	18.7413656312119
Q9D903	>sp|Q9D903|EBP2_MOUSE Probable rRNA-processing protein EBP2 OS=Mus musculus OX=10090 GN=Ebna1bp2 PE=2 SV=1	EBNA1BP2	19.7279396325619	19.8433325133182	19.8536076900794	19.7775663302139
P70245	>sp|P70245|EBP_MOUSE 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Mus musculus OX=10090 GN=Ebp PE=1 SV=3	EBP		21.3651326592547	20.3201812028931	
Q9CS74	>sp|Q9CS74|ECD_MOUSE Protein ecdysoneless homolog OS=Mus musculus OX=10090 GN=Ecd PE=1 SV=2	ECD		16.3763494599995	17.0989127157988	17.1571901638646
O35459	>sp|O35459|ECH1_MOUSE Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1	ECH1	18.372731379371	18.260411496646	18.1975878435061	18.1692401242666
Q9D9V3	>sp|Q9D9V3|ECHD1_MOUSE Ethylmalonyl-CoA decarboxylase OS=Mus musculus OX=10090 GN=Echdc1 PE=1 SV=2	ECHDC1	17.8710705181932	17.5933211727693	17.4651791121395	17.9088833367473
Q3TLP5	>sp|Q3TLP5|ECHD2_MOUSE Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Echdc2 PE=1 SV=2	ECHDC2	18.4823738247028	17.7863158335993	18.1746929172682	17.7571035615814
Q8BH95	>sp|Q8BH95|ECHM_MOUSE Enoyl-CoA hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Echs1 PE=1 SV=1	ECHS1	20.364892050662	20.350396036461	20.5513740324209	20.4911697050597
P42125	>sp|P42125|ECI1_MOUSE Enoyl-CoA delta isomerase 1, mitochondrial OS=Mus musculus OX=10090 GN=Eci1 PE=1 SV=2	ECI1	19.1926750203893	19.0467070599796	19.5005238810722	19.3320468965905
E9PUY9;E9PVM6;E9PYA9;E9PYC6;E9Q7A8;E9Q858	>tr|E9PUY9|E9PUY9_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1;>tr|E9PVM6|E9PVM6_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1;>tr|E9PYA9|E9PYA9_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1;>tr|E9PYC6|E9PYC6_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1;>tr|E9Q7A8|E9Q7A8_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1;>tr|E9Q858|E9Q858_MOUSE Isoform of Q9WUR2, Enoyl-Coenzyme A delta isomerase 2 (Fragment) OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=1	ECI2	19.2576986060238	19.429364054576	19.442793877428	19.624183369091
Q9WUR2	>sp|Q9WUR2|ECI2_MOUSE Enoyl-CoA delta isomerase 2 OS=Mus musculus OX=10090 GN=Eci2 PE=1 SV=2	ECI2	19.5510108265078	19.5581589448556	19.5394393718282	19.5152712627912
Q61508	>sp|Q61508|ECM1_MOUSE Extracellular matrix protein 1 OS=Mus musculus OX=10090 GN=Ecm1 PE=1 SV=2	ECM1	19.2659420649944	19.8754083974733	19.6574498376976	19.5938340226939
Q6PDI5	>sp|Q6PDI5|ECM29_MOUSE Proteasome adapter and scaffold protein ECM29 OS=Mus musculus OX=10090 GN=Ecpas PE=1 SV=4	ECPAS	19.4800283310228	19.109902052747	19.2121129764566	19.0712979043532
Q8K2D3	>sp|Q8K2D3|EDC3_MOUSE Enhancer of mRNA-decapping protein 3 OS=Mus musculus OX=10090 GN=Edc3 PE=1 SV=1	EDC3	18.7246781775801	18.8753959045187	18.9792575012238	18.9004033101005
